diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1090,ERRO,NORBERTO PEDRO,M,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,UCR,2009-11-12T00:00:00,2011-12-09T00:00:00
HCDN1428,ESPER,LAURA,F,BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2014-04-03T00:00:00,2015-12-09T00:00:00,FRENTE RENOVADOR,2014-04-03T00:00:00,2015-12-09T00:00:00
HCDN1163,ESPINDOLA,GLADYS SUSANA,F,CORDOBA,2009-12-10T00:00:00,2013-12-09T00:00:00,2009-12-03T00:00:00,2013-12-09T00:00:00,UCR,2009-12-10T00:00:00,2013-12-09T00:00:00
HCDN2430,ESPINOZA,FERNANDO,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-10T00:00:00,2019-12-11T00:00:00,FRENTE PARA LA VICTORIA - PJ,2017-12-10T00:00:00,2019-12-09T00:00:00
HCDN2430,ESPINOZA,FERNANDO,M,BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-10T00:00:00,2019-12-11T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2019-12-11T00:00:00
HCDN2756,ESTEVEZ,ENRIQUE,M,SANTA FE,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,SOCIALISTA,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN1514,ESTEVEZ,GABRIELA BEATRIZ,F,CORDOBA,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2015-12-10T00:00:00,2019-12-09T00:00:00
HCDN1514,ESTEVEZ,GABRIELA BEATRIZ,F,CORDOBA,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,FRENTE DE TODOS,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN1342,FABIANI,EDUARDO ALBERTO,M,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE RENOVADOR,2013-12-10T00:00:00,2015-05-12T00:00:00
HCDN1342,FABIANI,EDUARDO ALBERTO,M,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,RENOVADOR SOCIAL CRISTIANO,2015-05-13T00:00:00,2015-07-07T00:00:00
HCDN1342,FABIANI,EDUARDO ALBERTO,M,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,BLOQUE SOCIAL CRISTIANO,2015-07-08T00:00:00,2016-03-14T00:00:00
HCDN1342,FABIANI,EDUARDO ALBERTO,M,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,JUNTOS POR ARGENTINA,2016-03-15T00:00:00,2017-12-09T00:00:00
HCDN0741,FADEL,PATRICIA SUSANA,F,MENDOZA,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-05T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2007-12-10T00:00:00,2011-12-09T00:00:00
